145.28 216 2
258.3236 344 0
365.0941 465 0
415.9303 521 2
508.5786 623 1
609.767 730 0
662.215 786 6
684.805 809 0
715.876 843 0
767.068 896 0
# 950 0
# 981 0
# 994 0
872.1427 1004 10
898.7481 1030 3
1024.199 1155 1
1047.637 1178 1
1079.244 1208 3
# 1244 0
# 1329
1253.9376 1379 1
# 1436
# 1457
# 817.076 1491 0    neni v ref spektru
# 872.382 1585      neni v ref spektru
# 884.093 1604      neni v ref spektru
# 1622

# Big Gap (nemám spektrum)
2500 2736
# 2827
# 2870 1
# 2920 4.5
# 2955
# 2983 2
# 3003 1.5
# 3039 4
# 3056 9
# 3067
# 3086
# 3170
